epoch,acc,loss,val_acc,val_loss
0,0.903125,0.26082395874,0.9875,0.0530216645449
1,0.978125,0.0541737708729,1.0,0.0377386687789
2,0.984375,0.038805191312,1.0,0.0320588667877
3,0.99375,0.0334085041657,1.0,0.0271245066077
4,0.990625,0.0276241384447,1.0,0.0210562437773
5,0.990625,0.022717521165,1.0,0.0159133783542
6,0.990625,0.020474796975,1.0,0.0142806204967
7,0.99375,0.0191773748491,1.0,0.0139738614671
8,0.99375,0.0170423576958,1.0,0.0123178034555
9,0.99375,0.0161522778159,1.0,0.0108519173693
10,0.99375,0.0157363719365,1.0,0.0100113296183
11,0.99375,0.0151430375379,1.0,0.00939318190794
12,0.99375,0.0145951326325,1.0,0.00891499071149
13,0.99375,0.0145164008645,1.0,0.00841557644308
14,0.99375,0.0140814384467,1.0,0.00802396623185
15,0.99375,0.013454142712,1.0,0.00776684799348
16,0.99375,0.0135034972322,1.0,0.00741046951734
17,0.99375,0.0128385000629,1.0,0.00719866628642
18,0.99375,0.0127560575813,1.0,0.0069837755349
19,0.99375,0.0124307974736,1.0,0.00671769849723
20,0.99375,0.0132888921682,1.0,0.0067253815243
21,0.99375,0.0125681790232,1.0,0.00670691999258
22,0.99375,0.0128272151487,1.0,0.00652494442766
23,0.99375,0.0125090242364,1.0,0.00641742305597
24,0.99375,0.0121689623978,1.0,0.00632921471843
