epoch,acc,loss,val_acc,val_loss
0,0.653125,0.566933140159,0.8625,0.323670658469
1,0.95625,0.138764511421,0.9125,0.242904537916
2,0.996875,0.0297526038252,0.9125,0.206086535752
3,1.0,0.0105869909283,0.9125,0.204570473731
4,1.0,0.0083786012372,0.925,0.199107505381
5,1.0,0.00397979909321,0.91875,0.193240132928
6,1.0,0.00322633086471,0.93125,0.193792189658
7,1.0,0.00193435479887,0.93125,0.196473434567
8,1.0,0.00322729345644,0.925,0.196996818483
9,1.0,0.00224458428565,0.91875,0.198067122698
