epoch,acc,loss,val_acc,val_loss
0,0.9125,0.35318415612,1.0,0.119090917706
1,1.0,0.0987733125687,1.0,0.0854693524539
2,1.0,0.0159264958696,1.0,0.00550542785786
3,1.0,0.00113765154965,1.0,0.00176421054639
4,1.0,0.000327764858957,1.0,0.00115316647571
5,1.0,0.000346558663296,1.0,0.00108793150866
6,1.0,0.000223064303282,1.0,0.000652543222532
7,1.0,0.000142098998185,1.0,0.000460258242674
8,1.0,0.000108482758515,1.0,0.000400801800424
9,1.0,0.000104809843469,1.0,0.000353736785473
10,1.0,9.81433870038e-05,1.0,0.000282340226113
11,1.0,7.73105937697e-05,1.0,0.00029444032989
12,1.0,8.85179069883e-05,1.0,0.000333974644309
13,1.0,6.47722517897e-05,1.0,0.000301290448988
14,1.0,6.76508918332e-05,1.0,0.000261787997442
15,1.0,6.07653406405e-05,1.0,0.000244460211252
16,1.0,7.48679303797e-05,1.0,0.000280864807428
17,1.0,5.472042576e-05,1.0,0.000269802706316
18,1.0,6.41115489998e-05,1.0,0.000217840951518
19,1.0,4.00718779929e-05,1.0,0.000228265000624
20,1.0,4.10869866755e-05,1.0,0.000229887629393
21,1.0,6.47833632684e-05,1.0,0.000272657931782
22,1.0,6.73836611895e-05,1.0,0.000275653621065
