epoch,acc,loss,val_acc,val_loss
0,0.54375,0.697080630064,0.65,0.679908287525
1,0.9125,0.572781592607,0.68125,0.661774790287
2,0.90625,0.494530305266,0.50625,0.958075225353
3,0.884375,0.582054752111,0.49375,0.970695325732
4,0.909375,0.520967805386,0.54375,0.665218222141
5,0.875,0.673292246461,0.61875,0.642884397507
6,0.875,0.437391188741,0.525,0.67751210928
7,0.565625,0.682772797346,0.49375,0.698617339134
8,0.525,0.690494966507,0.50625,0.693079781532
9,0.546875,0.685443156958,0.50625,0.693678069115
