epoch,acc,loss,val_acc,val_loss
0,0.909375,0.188870039303,1.0,0.00638485869858
1,1.0,0.00109249415618,1.0,0.000232964624956
2,1.0,8.99887376931e-05,1.0,0.000130438639098
3,1.0,2.45780920011e-05,1.0,5.90056954479e-05
4,1.0,1.00868303377e-05,1.0,5.48681978216e-05
5,1.0,1.67066071299e-05,1.0,3.81287745768e-05
6,1.0,1.01170240271e-05,1.0,2.95592217299e-05
7,1.0,5.59556203541e-06,1.0,2.77100200037e-05
8,1.0,1.09031595571e-05,1.0,2.50182619766e-05
9,1.0,8.66795188585e-06,1.0,2.58474454768e-05
10,1.0,1.11009966361e-05,1.0,2.2187248851e-05
11,1.0,1.41006737977e-05,1.0,2.60192619407e-05
