epoch,acc,loss,val_acc,val_loss
0,0.95,0.261695086583,1.0,0.0113529754803
1,1.0,0.00330756760086,1.0,0.000760462263133
2,1.0,0.000608908917638,1.0,0.000293565189349
3,1.0,0.000270128711418,1.0,0.00027303925599
4,1.0,0.000199952026742,1.0,0.000291401849245
5,1.0,0.000193205091637,1.0,0.00022466560913
6,1.0,0.000180985894985,1.0,0.000186559489521
7,1.0,0.000113401344424,1.0,0.00016609178856
8,1.0,0.000127215964312,1.0,0.000153705793491
9,1.0,0.000126209894734,1.0,0.000144148059189
10,1.0,0.000135914523707,1.0,0.000136864380329
11,1.0,0.000102559703373,1.0,0.000129915306752
12,1.0,7.92088376329e-05,1.0,0.000121257785941
13,1.0,0.000109964280273,1.0,0.000118418448255
14,1.0,0.000114236211084,1.0,0.000124067730212
15,1.0,9.46442323766e-05,1.0,0.000118859400391
16,1.0,8.53120440297e-05,1.0,0.000109350297134
17,1.0,7.06897943019e-05,1.0,0.000103252276313
18,1.0,6.30163591268e-05,1.0,9.86572820693e-05
19,1.0,6.88045765855e-05,1.0,9.3845842639e-05
20,1.0,7.67193410866e-05,1.0,9.12631410756e-05
21,1.0,6.64245875669e-05,1.0,9.01331208297e-05
22,1.0,6.94095786457e-05,1.0,8.90772804269e-05
